"year","prov","sector","scenario","emissions"
2009,"AB","Electricity","2022 Reference Case",0
2009,"AB","Electricity","NIR 2022",45.3
2009,"BC","Electricity","2022 Additional Measures Scenario",0
2009,"BC","Electricity","2022 Reference Case",0
2009,"BC","Electricity","NIR 2022",1.1
2009,"Canada","Electricity","2022 Additional Measures Scenario",0
2009,"Canada","Electricity","2022 Reference Case",0
2009,"Canada","Electricity","NIR 2022",93.7
2009,"MB","Electricity","2022 Additional Measures Scenario",0
2009,"MB","Electricity","2022 Reference Case",0
2009,"MB","Electricity","NIR 2022",0.2
2009,"ATL","Electricity","2022 Additional Measures Scenario",0
2009,"ATL","Electricity","2022 Reference Case",0
2009,"ATL","Electricity","NIR 2022",16.9
2009,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2009,"Northwest Territories","Electricity","2022 Reference Case",0
2009,"Northwest Territories","Electricity","NIR 2022",0
2009,"ON","Electricity","2022 Additional Measures Scenario",0
2009,"ON","Electricity","2022 Reference Case",0
2009,"ON","Electricity","NIR 2022",14.4
2009,"QC","Electricity","2022 Additional Measures Scenario",0
2009,"QC","Electricity","2022 Reference Case",0
2009,"QC","Electricity","NIR 2022",0.7
2009,"SK","Electricity","2022 Additional Measures Scenario",0
2009,"SK","Electricity","2022 Reference Case",0
2009,"SK","Electricity","NIR 2022",15
2010,"AB","Electricity","2022 Additional Measures Scenario",0
2010,"AB","Electricity","2022 Reference Case",0
2010,"AB","Electricity","NIR 2022",44.7
2010,"BC","Electricity","2022 Additional Measures Scenario",0
2010,"BC","Electricity","2022 Reference Case",0
2010,"BC","Electricity","NIR 2022",1
2010,"Canada","Electricity","2022 Additional Measures Scenario",0
2010,"Canada","Electricity","2022 Reference Case",0
2010,"Canada","Electricity","NIR 2022",94.6
2010,"MB","Electricity","2022 Additional Measures Scenario",0
2010,"MB","Electricity","2022 Reference Case",0
2010,"MB","Electricity","NIR 2022",0.1
2010,"ATL","Electricity","2022 Additional Measures Scenario",0
2010,"ATL","Electricity","2022 Reference Case",0
2010,"ATL","Electricity","NIR 2022",14.3
2010,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2010,"Northwest Territories","Electricity","2022 Reference Case",0
2010,"Northwest Territories","Electricity","NIR 2022",0
2010,"ON","Electricity","2022 Additional Measures Scenario",0
2010,"ON","Electricity","2022 Reference Case",0
2010,"ON","Electricity","NIR 2022",18.9
2010,"QC","Electricity","2022 Additional Measures Scenario",0
2010,"QC","Electricity","2022 Reference Case",0
2010,"QC","Electricity","NIR 2022",0.5
2010,"SK","Electricity","2022 Additional Measures Scenario",0
2010,"SK","Electricity","2022 Reference Case",0
2010,"SK","Electricity","NIR 2022",14.9
